,Tweet,Sentiment
19,"Di debat ke 3: Anies kasih nilai Prabroro 11/100 Ganjar kasih nilai 5/10  Prabroro selalu bilang, biar masyarakat yang menilai.  Sekarang masyarakat kasih nilai: Anies 24% dari 100% Ganjar 16% dari 100%  Damn, you reap what you sow. Karma is a bitch.",neutral
20,"Update: #RealCount ⚠️Data Invalid perlu Audit! pemilu2024.kpu.go.id Total Pemilih: 204,807,222  Total suara: 33,718,923 (16.46%) Total Pemilih  1. Anies 8,417,620 (24.96%) 2. Prabowo 19,203,800 (56.95%) 3. Ganjar 6,097,593 (18.08%)  Progress TPS: 359,790 dari 823,236 (43.70%)",positive
21,Kubu Anies-Muhaimin dan Ganjar-Mahfud menolak hasil hitung cepat. Disebut banyak Indikasi kecurangan.  #KoranTempo https://koran.tempo.co/read/nasional/487274/mengapa-kubu-01-dan-03-kalah-pilpres-2024,positive
22,Ganjar adalah korban keangkuhan PDIP.,neutral
23,Rekaman video perhitungan suara ini di ambil dari Internal Timnas Amin 1jam yg lalu dimana suara yg masuk baru kisaran 3.147.683 suara dgn rincian : - AMIN 37.41% - Pragib 51.24% - Ganjar 11.34%  Optimis 2putaran..AM1N ☝️,neutral
24,"Ganjar: Perolehan PDIP Nomor Satu, Anomali dengan Suara Saya, Kita Selidiki dlvr.it/T2mgnc #Pemilu",neutral
25,"Kata Bambang Pacul, pilpres kali ini berat krn kalah komandan.  Komandan pemenangan Ganjar di Jawa Tengah yg ngomong apa adanya.",neutral
26,"Real Count 51,25% KPU di DKI: Prabowo-Gibran 41,37%, AMIN 40,67%, Ganjar-Mahfud 17,96% dlvr.it/T2mrZw",neutral
27,TPN Ganjar-Mahfud akan bekerjasama dengan TIMNAS AMIN untuk mengusut kecurangan pemilu. Tetap waspada @tomlembong dkk.  Banteng tetaplah binatang buas.  Negri para bedebah Real Count,positive
28,"*BUKTI TEMUAN OLEH PAKAR AHLI DIBIDANGNYA YANG DIDUGA KECURANGAN OLEH APLIKASI SI REKAP, KPU*  *Sudah diperingatkan jauh sebelum pencoblosan Pilpres 2024... Setiap kali hasil suara C1 discan, suara Anies tetap, Suara Prabowo naik, dan suara Ganjar turun. Yang ngomong bukan saya. Clear.*  *Ada Penggembungan Suara Di suara paalon 02 dan yabg di Rugikan Penurunan Paslon 03, Dari Penyebab Aplikasi SI REKAPITULASI Yang Di Buat Oleh KPU.*  *Artinya Itu Sudah Di Rekayasa Bentuk KECURANGAN MASIF Dan TERSTRUKTUR CRIME ORDINARI MASIF OLEH PIHAK KPU !!!*  Mohon Atensinya @bawaslu_RI",neutral
29,"Gini ya. Pilihan tuh kayak misalnya bubur diaduk atau ga diaduk, mi goreng atau mi rebus.   Contoh yang bukan pilihan: • Israel/Palestina, lu pilih Israel berarti lu mendukung genosida. • Anies/Prabowo/Ganjar, lu pilih Prabowo berarti lu mendukung kejahatan HAM dan nepotisme.",negative
30,"Business Plan paslon Pilpres yang belum beruntung :  Anies : nyagub lagi di DKI 2024, diusulkan jadi ketum PKS  Imin : dikudeta dari ketum PKB, jualan sarung merk Slepet  Ganjar : jadi influencer jualan Jaket merk sat set Mahfud : jadi Dosen dan dampingi karni ilyas di ILC",positive
31,Ok review visual capres td di kertas kertasannye  Anies: okokla cute smile  Prabowo: uhhh….BPJS KESEHATAN….ASURANSI KESEHATAN PRUDENTIAL  Ganjar: ░M░Y░ ░P░U░S░S░Y░ ░I░N░ ░B░I░O░,neutral
32,"despite of everything, thank you, tim 01 dan 03.  tidak berusaha mengultuskan paslon tertentu, because at the end of the day they're still politicians. tapi buatku, usaha pak anies, cak imin, pak ganjar dan prof mahfud— gagasan, gerakan, gebrakan mereka... pantas diapresiasi.",neutral
33,"Benar kata pengamat2 politik itu. Ganjar suaranya merosot salah satunya karena ulah buzzernya. Elite PDIP sdh ngerem utk kritik jokowi, tapi tidak begitu dengan buzzernya. 😊",negative
34,Jujur bagusan feed ganjar,neutral
35,PDIP menang jauh tp calonnya hancur lebur. ga nyangka PDIP tega gembosin ganjar-mahfud.,neutral
36,Maafkan saya pak.... Saya relawan yg gagal membantu kemenangan bapak dan juga kemenangan demokrasi Indonesia 🙏🙏🙏🙏🙏,neutral
37,"TOLONG RAMEIN!!! Ini masuk kecurangan ga? Prabowo di web 161, tapi di kertas perhitungan suara 111 Ganjar juga suaranya kurang 1 HALOO @KPU_ID @bawaslu_RI",neutral
38,"Kalo golput pada nyoblos, pasti Ganjar menang. 🤣",neutral
39,"Eks Gubernur Jawa Barat Ridwan Kamil berbicara hasil quick count lembaga survei di Pilpres 2024. Sejauh ini, paslon 02 Prabowo-Gibran unggul dari paslon 01 Anies-Muhaimin dan paslon 03 Ganjar-Mahfud.  Ridwan Kamil mengatakan, paslon 02 menang berkat pergerakan silent majority. Eks Wali Kota Bandung ini kemudian membeberkan kategori kelompok masyarakat selama Pemilu 2024. Salah satunya adalah mereka yang menyimak namun jarang komen-komen, dan jarang ribut-ribut di medsos tiap akun ini posting politik.  #pemilupedia #focus #pilpres2024 #news #oneliner #capres2024 #pemilu2024 #kumparan",neutral
40,Aku jadi pengen up gambar pak anies (01) ngecomfort pak ganjar (03).....,neutral
41,"Megawati Soekarnoputri, Ketua Umum PDI Perjuangan, bersama TPN Ganjar-Mahfud menggelar rapat bersama dalam menyikapi proses dan hasil Pemilu 2024.  Sekretaris Jenderal PDI Perjuangan, Hasto Kristiyanto, menegaskan bahwa partai menganggap ada permasalahan serius dan fundamental yang perlu diselesaikan terkait proses dan hasil pemilu guna memastikan kedaulatan rakyat.  #PDIPerjuangan #M3nangkanRakyat #KebenaranPastiMenang #SatyamEvaJayate #GanjarMahfud2024 #Pemilu2024 #JagaKawalSuaramu",positive
42,"Pak anies itu sama seperti pak ganjar kurang dapat support maksimal dari partai pendukung hanya mengandalkan relawan. Bandingkan sama pak prabowo, dari mulai partai pendukung, relawan jokowi, relawan prabowo kompak turun habis2an dukung beliau",negative
43,"bukan ... jkw sudah tau posisi ganjar sangat lemah elektabilitasnya, makanya prabowo dengan mudah mengalahkannya.",neutral
44,Secara pak ganjar suaranya msh terbanyak di jateng trus dicurangi sm kpu utk menangkan gibran.. all out pdip usut tuntas kecurangan!!,neutral
45,Anis 67% prabowo 16% ganjar 5 % dijumlah kagak nyambung.,neutral
46,makin mungkin kalo PDIP ataupun bu mega itu berdiri di atas 2 kaki. mereka tetep ada yg ngikutin keluarganya jkw sekaligus dapet suara tertinggi di kursi dpr. dengan pak ganjar yg jd korbannya. gua dr awal emg udh kasihan si sm pak ganjar,neutral
47,Mbeleh wedus 😁,neutral
48,"-- 1/2/3 terlibat semua sama prabowo. Anies pernah di support jd gubernur, ganjar pernah jd timses mega-bowo. Saat mengambil keuntungan dari prabowo gaada yg teriak2 HAM, munafik!   Kami jg punya alesan milih prabowo, katanya demokrasi tapi menghargai pilihan org lain aja SUSAH??",negative
49,Iya ini harus mereka lakukan utk ngunci Anies dan Ganjar.  Supaya TDK terjadi putaran ke 2. Knp mrk awal ksh aklamasi 1 putaran. Ini lah dia alasannya skrg terjadi.,neutral
50,"gerindra, pan, golkar, demokrat vs pdip, pks, pkb, nasdem. yes kita butuh stabilitas, 2029 duetin anies ganjar lawan gibran dengan siapapun itu, kita putus dinasti doi",neutral
51,Timnas Amin dan TPN Ganjar-Mahfud Sepakat Bakal Gugat Kecurangan Pemilu https://www.gelora.co/2024/02/timnas-amin-dan-tpn-ganjar-mahfud.html,neutral
52,"Anies, Prabowo dan Ganjar Tanggapi Hasil Hitung Cepat Pemilu 2024 dlvr.it/T2mpzg",positive
53,"“anies kalah😜 ganjar kalah 🤪”  it was never a matter of winning or losing, i don’t give a fuck who’s who.  it’s about SIAPA yang bisa memberikan perubahan progresif demi masa depan generasi bangsa dan SIAPA yang incapable of doing so.  i don’t understand why this idea is so difficult for some people to grasp.",negative
54,"TPN Ganjar-Mahfud: Di Madura Satu Kampung, Suara Sudah Dicoblos 02 https://www.oposisicerdas.com/2024/02/tpn-ganjar-mahfud-di-madura-satu.html",negative
55,"makanya nnton yutub mas, ada tu desak anies, slepet imin, malmingan ganjar, tabrak prof",neutral
56,Iki pak ganjar ngomong opo?,neutral
57,ganjar selalu energetic dan ekspresif😄😄😄,neutral
58,"Kris Dayanti tak menyesal sudah mendukung Ganjar dan Mahfud MD, meski hasil hitung cepat, paslon nomor 3 itu tertinggal dari paslon 1 dan paslon 2. dlvr.it/T2msYy",positive
59,Feed IG-nya pak Ganjar mantep juga nih. Bisa rapi gitu ya.,neutral
60,Hooh tenan,neutral
61,duhhh makin kasian sama Anis & Ganjar 😂😂,neutral
62,"He rides ‘kemuakan masyarakat pada PDIP’ really well to beat Ganjar. Counter semua gagasan Anies dengan branding joget dan gemoy ke Prabowo.  Plus jualan kesedihan dan branding patriot sejati ketika Prabowo dimasak berkali-kali di debat capres. Yang mana, itu lebih masuk di kepala grassroot.  Mr. Widodo with his political masterpiece 🫡👏",neutral
63,Bangsa Indonesia lebih memilih pemimpin penjahat dan pemimpin bodoh,neutral
64,Berarti 2024 PDIP gak punya tokoh berpengaruh? Masa Pak Ganjar cuma dapat 17% suara. Miris banget,negative
65,"Kalau mau cari siapa yg disalahin utk kecilnya suara Ganjar, saya akan bebankan kesalahan ke pihak2 ini, mulai dr yg salahnya plg berat.   1. Megawati 2. Yunarto 3. Buzzer2 di twitter 4. Ganjar 5. Hasto 6. Ahok 7. Guntur 8. Mahfud",neutral
66,Ini ganjar masih di tolak sama pdip sampai acara2 pdip di jateng tidak di undang,negative
67,"Meski Curigai Ada Kecurangan, Ganjar dan TPN Sepakat Tunggu Real Count KPU  https://www.gatra.com/news-592816-pemilu-2024-meski-curigai-ada-kecurangan-ganjar-dan-tpn-sepakat-tunggu-real-count-kpu.html",neutral
68,"TPS PEJATEN TIMUR, PASAR MINGGU JAKARTA SELATAN, ANIES UNGGUL DISUSUL PRABOWO DAN GANJAR PALING SEDIKIT ANGKANYA. SAYA MENYAKSIKAN DAN MENGAWAL JALANNYA PERHITUNGAN SURAT SUARA, SAYA AKAN UPLOAD SELURUH FOTO DARI MASING” TPS DI PEJATEN TIMUR TEMPAT TINGGAL SAYA. TUNGGU!",neutral
69,"Anies menang 6 suara daripada prabowo, ganjar hanya memperoleh 35 suara. Total suara sah adalah 249 suara tidak sah 2. Berapa perolehan suara anies?",neutral
70,Baru tau pak ganjar tinggi 😭,negative
71,Ini terjadi disini dan di daerah ibuku juga,neutral
72,"Just a reminder bahwa rakyat Indonesia memenangkan Prabowo-Gibran bukan karena mereka suka Prabowo, tapi karena ingin keberlanjutan Jokowi.  Ketika tahun lalu Jokowi dipersepsikan dukung Ganjar, Ganjar lah yang diprediksi akan menang.  Jokowi dukung Anies pun, Anies akan menang.",positive
73,"Puan emang ga diajuin sebelum ganjar? Mega emang ga mau maju sebelum jkw? Puan, mega itu elektabilitasnya rendah makanya naikin jkw, ganjar. Klo menyiapkan kader secara murni ya trah soekarno jgn pake ikutan test the water 🤣🤣.",neutral
74,Ada apa kemenangan @PDI_Perjuangan tidak berkolerasi dg Perolehan Suara   Capres Ganjar-Mahfud...?,neutral
75,"Cari aja sndiri di google, bnyak. Yg pertama ngajuin undang2 rubah usia juga si puan, karena mau Gibran jadi wakilnya ganjar",neutral
76,"""Jangan pernah berhenti karena LELAH, berhentilah ketika sudah SAMPAI,""  Ganjar Pranowo, anak kandung Reformasi",neutral
77,ganjar cocok jadi presiden new york.,neutral
78,"Untuk para pendukung pak Ganjar Mahfud..  Konferensi pers dari pak Arjad Rasjid.. Tetap tenang, tenang, tenang.. Kita tunggu pengumuman resmi, kita juga kumpulkan bukti karena kita ingin demokrasi jujur, rakyat yang menang. https://nitter.adminforge.de/_riverheaven/status/1757729633334972710/video/1 .",neutral
79,"Dik Alam, tetap tegar dan semangat, seperti ayahmu.. Saya mengenal (dr jauh) sosok mas Ganjar sejak belio masih di DPR RI, saya sdh merasakan aura kepemimpinan belio dan hati kecil saya mengatakan belio suatu saat akan memimpin bangsa ini.. Salam sehat utk anda berdua..",neutral
80,Capres nomor urut 3 Ganjar Pranowo berjanji akan menghormati dan mengikuti hasil Pemilu 2024 yang nantinya diputuskan KPU. dlvr.it/T2msNH,positive
81,"Kalah di Kandang Banteng, Ganjar Akui Ada Anomali dengan Suara PDIP https://www.beritasatu.com/bersatu-kawal-pemilu/2799846/kalah-di-kandang-banteng-ganjar-akui-ada-anomali-dengan-suara-pdip?utm_source=dlvr.it&utm_medium=twitter #beritasatu #news #berita",negative
82,"PDI-P juara, Ganjar nyungsep, mission complete puan",neutral
83,Lumayan juga merasakan pemilu di negara ini.  1999 : Dukung PDI-P meskipun gak nyoblos. Presiden masih dipilih MPR-DPR.  2004 : Dukung  SBY.  2009 : Dukung  Jusuf Kalla.  2014 : Dukung Jokowi.  2019 : Dukung Jokowi.  2023 : Dukung Ganjar.  Karena hak pilih itu karunia. ☺️👍🏽🇮🇩,positive
84,"Udah jagoannya kalah, sekarang lanjut mencaci partai. Emang mental bullying dari 01 dan 03 itu dahsyat ya. 😂😂😂😂. Ga mw bahas kenapa ganjar bisa ndlosor ke 16 persen dari 30 persen. Bisa jadi rekor dunia tuh 🤭🤭. Ato kok bisa suara capres dan partai sama. Ups 😂😂.",positive
85,✍️ Pasangan AMIN menang di TPS tapi kalah di saluran Quick Count oleh lembaga survei.  Begitu pula pasangan Ganjar-Mahfud distigmakan urutan ketiga & bakal kalah sebelum Pilpres digelar.  Seruan rakyat Pilpres tanpa Jokowi agar tidak terjadi kecurangan. Kini terbukti...!  *FA*,negative
86,gw ga percaya suara Ganjar cuma segitu,negative
87,"Abong ker usum pemilu, di mimpi urang aya pak ganjar an ajeggg poekk 😭😭😭",positive
88,"Ucapan paling mengesankan utk Ganjar yg kalah dlm pilpres 2024 datang dari anak tunggalnya, Alam Zinadin, yg selama ini, bersama ibunya, ikut kampanye: “Tidak malu dan menyesal utk berjuang, God’s greatest gift is giving me chance to call you ayah”.  (Karunia Tuhan terbesar kepadaku adalah memberiku kesempatan memanggilmu ‘ayah’).",negative
89,mirip alam ganjar,neutral
90,"Tidak ada kebanggaan terbesar bagi saya selama proses pemilu ini selain berjuang bersama ORANG BAIK dan ORANG JUJUR ini, Ganjar Pranowo  Minimal, saya TAK memiliki BEBAN MASA DEPAN dengan memilih PELANGGAR HAM sebagai presiden Republik ini  Saya tak bisa bayangkan betapa berdosanya negeri ini menjadikan seorang PENCULIK menjadi pemimpin atas rakyatnya  Saya telah berjuang sebaik-baiknya, berjuang sehormat-hormatnya, berjuang sejujur-jujurnya kepada rakyat Indonesia untuk memperjuangkan anak kandung rakyat dan reformasi ini  Saya juga bangga telah memilih karena berdasarkan analisa, pembandingan, rekam jejak, perilaku pribadi, ketaatannya kepada Tuhan, kesederhanaanya kedekatannya dengan rakyat dan visi misi yang masuk akal sehat manusia pada umumnya  Bukan memilih karena ikut-ikutan atau hanya karena figur seorang Jokowi yang sedang terang-terangan mempraktekkan nepotisme dan melabrak Konstitusi  Kita telah berjuang bersama etika dan moral yang kita junjung setinggi-tingginya, karena itulah hukum tertinggi yang sejatinya. Kita juga telah konsisten bertahan pada prinsip, integritas dan idealisme yang tak ternilai harganya  Saya bangga kepada rekan-rekan seperjuangan yang berjuang tanpa pamrih. Saya saksinya, mereka berjuang tanpa dibayar oleh siapa-siapa  Mayoritas dari kami adalah orang2 pekerja yang menyisihkan waktunya sebaik-baiknya untuk pak Ganjar Pranowo  Ada yang rela memberi seribu dua ribu lalu kami kumpul jadi banyak (walau tak seberapa) lalu kami gunakan untuk biaya memperkenalkan pak Ganjar ke orang-orang yang belum mengenal beliau  Cerita ini jadi sejarah. Kelak, anak cucu saya akan tahu bahwa saya adalah orang yang berpegang teguh pada prinsip, nilai dan integritas meskipun intimidasi bertubi-tubi mengancam saya  Idealisme saya tak semurah itu, pilihan politik saya tidak selacur itu. Tak ada pintu sedikitpun untuk terbuka untuk penculik dan manusia yang tak mampu mengontrol emosi  Saya selalu bersamamu pak ganjar, I Love You",positive
91,"""Perjuangan belum selesai. Tidak ada perjuangan yang sia-sia!""  — Ganjar Pranowo —",negative
92,"Mas Alam, Pak ganjar ganteng bgd😭",neutral
93,Tahu tidak kenapa Ganjar-Mahfud kalah? Salah satunya karena merekrut orang macam @Dennysiregar7 ini.,negative
94,Tanpa mengurangi rasa hormat Ganjar levelnya memang baru sebatas Anggota DPR & Kepala Daerah bersaing untuk Pilpres belum mampu membangun suara pengikut.,neutral
95,"Terimakasih Pak Ganjar, Pak Mahfud telah berjuang. Kami bangga menjadi bagian dari perjuangan Ganjar-Mahfud..🤟🥺❤️",neutral
96,Kesetiaan kepada visi dan misi Ganjar-Mahfud adalah wujud cinta kita kepada Indonesia @Juniyeay #GanjarMahfud2024 #KitaAdalahTiga #Coblos3,positive
97,"03,ganjar ya uda ganjar&brandingny. tp org2 dibelakangny tu yg ancurin dia,PDIP&Mega terlalu jumawa.pidato,narasi, etika dr Ketum partai tu kena.krang phm yg ksh ide kata ""Petugas Partai"" ke Mega itu siapa,branding kata2 tu memiliki arti jelek gt&dia arahkan tu ke Presiden jg.",positive
98,Hmmm.. Sepertinya bapak gemoy itu menang.. Mungkin dia yang paling berdo'a sehingga terkabulkan walau kemarin kata 'aamiin' itu dipinjam oleh sainganya.. Mungkin ia yg paling berusaha sehingga ia yg paling besar ganjar-anya..  Ahahaaaa... 💪🇲🇨,negative
99,"Ya iyalah beliau orang pusat mana tw yg di pelosok2, Ganjar masih mending tw lah pelosok2 Jateng...Prabowo udh berapa kali nyalon sampe ke pelosok + motto mereka melanjutkan kerjaan Presiden Petahana...istilahnya terpapar 10 tahun lah",negative
100,"Jika bergabung ke Prabowo, Anies dipandang menelan ucapannya sendiri, sedangkan Ganjar diyakini ikut arahan Megawati yang punya prinsip tegas. dlvr.it/T2mPzj",neutral
101,messi milih ganjar,neutral
102,"Real Count KPU Suara Masuk 35% di Bali: Prabowo Unggul 52,89%, Anies 44,38%, Ganjar 35,87% dlvr.it/T2msCG",neutral
103,"kemarin seharian kamu bahas banteng, ganjar dkk pake akun yang jelas2 mengatasnamakan MU. likes replies kamu semuanya lewat tl kali wkwkwk kalo mau hate banteng di roomchat aku aja gausah pake akun emyu, palingan cm berantem sm aku. kalo disini?gasemua org suka fi, be wise okay😉",negative
104,Yang menang bukan Anies Baswedan atau PRABOWO atau GANJAR PRANOWO tapi lembaga survey abal abal yg jd pion istana,neutral
105,tau ga kenapa di eropa yg paling banyak dipilih itu ganjar sama anies?   ya karena di sana dikit orang gobloknya 😁,negative
106,Anies dan Ganjar adalah Prabowo di tahun 2014 dan 2019,neutral
107,"Pak Ganjar maju sebagai Calon Bupati di Purworejo atau Karanganyar, maju Calon Walikota Surakarta jg Bisa..... Pasti unggul pak.  https://www.cnnindonesia.com/nasional/20240215150822-617-1063063/ganjar-soal-kalah-dari-prabowo-di-kandang-banteng-pdip-masih-tinggi",negative
108,"Indonesia berharap, Ganjar - Mahfud yang terbaik @daazicy #GanjarMahfud2024 #KitaAdalahTiga #Coblos3",neutral
109,Turut sedih sama abah dan pak ganjar.... Mereka dicurangin sama orang orang ini dan kecurangannya sangat struktural dan masif. Kalau liat kayak gini sih sulit rasanya menang dari segala kecurangan😔,positive
110,"mau bilang, aku gapernah nyesel pilih Jokowi. hasil kerjanya bagus, kita semua nikmatin hasilnya. makasih ya Pak atas 10 tahun ini🙌🏻  mungkin Ganjar-Mahfud belum waktunya buat mimpin Indonesia. tapi aku yakin Bapak2 adalah pemimpin yang hebat🤘🏼🫶🏻",neutral
111,ganjar,neutral
112,"✍️ Politik Jahat Boy Thahir, Menjegal Anies & Ganjar…""  Faizal Assegaf (kritikus)  Erick dan Boy Thohir bersaudara makin ganas konsolidasi sejumlah konglomerat super kaya. Mengklaim ⅓ penyumbang ekonomi RI siap menangkan Prabowo-Gibran. Deklarasi culas itu muncul di tengah isu Pilpres curang.  Seolah bandar politik digiring dalam pemufakatan jahat untuk membajak demokrasi. Bermondalkan ribuan triliun punya target Pilpres satu putaran. Boy Thohir secara terbuka menyodorkan peta kekuatan para pemodal besar tersebut.  ""Mulai dari Djarum Grup, Sampoerna Grup, Adaro Grup, siapa lagi, pokoknya grup-grup semua ada di sini, ada Ninin, the richest wanita in Indonesia, dan semuanya Pak,"" ujar Boy Thoir dalam acara Relawan Erick Thohir Alumni Amerika Serikat di Plaza Senayan, Jakarta, Senin (22/1).  Prabowo Subianto hadir dan dinobatkan sebagai tamu spesial sembari menggulir pesan penting: ""Kehormatan besar, baru saya paham sekarang kenapa saya dua kali kalah pilpres, karena dulu saya enggak diundang ke sini"".  Tersirat Prabowo mengakui dua kali dicurangi lantaran tanpa sokongan Boy Thohir dan kawanan konglomerat. Kini berbalik membongkok pada rezim Jokowi dan oligarki. Di jalan gelap itu, Prabowo dijamin bakal menang satu putaran.  Keterlibatan oligarki dengan modal besar di ruang demokrasi punya daya rusak dan ancaman bagi kedaulatan politik rakyat. Sudah banyak protes rakyat bermunculan. Rakyat sangat marah dan merasa demokrasi disandera pemodal besar.  Manuver Boy Thahir dan kelompok konglomerat yang berada di lingkar kekuasaan jelas bikin gaduh. Kecurigaan publik atas peran oligarki merusak demokrasi sangat nyata. Hak dan kedaulatan politik rakyat terancam diberangus.  Terlebih pengakuan Prabowo dalam pertemuan pengusaha kaya tersebut, bahwa dirinya dua kali kalah dalam Pilpres. Ukurannya karena tidak disokong oleh jaringan oligarki. Seolah menang atau kalah atas restu pemodal besar.  Pertemuan Boy Thahir dan pemodal besar jelang pemungutan suara 14 Februari 2024 harus disikapi serius. Demokrasi tidak boleh kangkaki kelompok oligarki demi menyingkirkan kehendak aspirasi rakyat. Jelas jahat dan culas.  Bersatulah rakyat, lawan kejahatan oligarki…!  **",positive
113,"Berhubung ga ngopi, jadi yang istimewa bagi saya ya... pak Ganjar Pranowo.( Sebagai Pemimpin ) 🤟♥️🔥",neutral
114,"PDIP vs Jokowi, pemenang Jokowi? Fakta: PDIP QC teratas. Ganjar kalah krn PDIP tidak total mendukung. Berapa kali bu Mega dtg kampanye Jokowi 2014/19 vs dtg ke Ganjar 2024. Bansos menggoyang 03, tidak mempan ke 01 yg solid. PDIP vs Jokowi, belum selesai. Megawati belum move",negative
