,Tweet,Sentiment
50,"sebenarnya enggak perlu kecewa dan denial juga sih. dari awal kita juga tahu kita dukung capres yang kemungkinan kalahnya lebih besar dari menangnya 😀  ingat, kan kita memilih bukan untuk memenangkan anies, tapi kita memilih karena prinsip dan keterwakilan visi dan misinya.",positive
51,Ok Nak Gibran kamu masih muda bau kencur dibawah pak Anies kamu masih banyak kesempatan Gibran solo menantimu,neutral
52,"program desak anies dan sejenisnya itu gebrakan yg fresh, membuka ruang dialog antara rakyat dgn calon pemimpin. mengajak rakyat berpikir kritis, peduli pada current issues. upaya mencerdaskan bangsa jg, aku kagum bgt. secara elektoral, itu perkara lain.",neutral
53,"Eks Gubernur Jawa Barat Ridwan Kamil berbicara hasil quick count lembaga survei di Pilpres 2024. Sejauh ini, paslon 02 Prabowo-Gibran unggul dari paslon 01 Anies-Muhaimin dan paslon 03 Ganjar-Mahfud.  Ridwan Kamil mengatakan, paslon 02 menang berkat pergerakan silent majority. Eks Wali Kota Bandung ini kemudian membeberkan kategori kelompok masyarakat selama Pemilu 2024. Salah satunya adalah mereka yang menyimak namun jarang komen-komen, dan jarang ribut-ribut di medsos tiap akun ini posting politik.  #pemilupedia #focus #pilpres2024 #news #oneliner #capres2024 #pemilu2024 #kumparan",neutral
54,Laporin aja gue dukung kalau emang Anies curang gue gak peduli,neutral
55,"Sejak Gibran dititipkan kepada Prabowo untuk misi estafet kekuasaan Jokowi dgn Prabowo sebagai bonekanya yg notabene Prabowo diuntungkan krn syahwat jadi orang nomor 1 akhirnya jadi kenyataan di sisa usianya, tiap telponan dengan teman INA saya selalu blg “Saya pilih Anies. Tp bukan bermaksud mendahalui Takdir, Prabowo Bakal menang. Justru aneh kl dia kalah stlh diback up penguasa dgn cara yg Najis massivenya.” Heuheu  Sejak debat Capres pertama, gesture Prabowo melet2 dengan dada busung kepada Anies, tuit2 saya 100% waktu itu “itu gesture orang yang merasa di atas angin. Orang yg ga dukung penguasa ngga bakal atututednya spt itu di depan umum.”  Justru kalau Anies atau Ganjar yang menang, itu Keajaiban Rabb. Baru aneh.  Semoga kalian pendukung Jokowi Prabowo yg ada di TL, stlh Capres pilihan kalian menang, kalian ngga wasap/DM-in lagi orang2 buat ngutang.  Semoga kalian juga ngga nge DM-in client/customerku yang rejekinya tajir dari Allah, menjual drama kebohongan biaya anak sekolah hingga ngutang 10 juta ke atas hingga uang tsb direlakan oleh clientku heuheu.  Semoga gak banyak lagi lintah pengemis GA di TL yang mempermalukan diri membuka aib ekonomi agar dikasihani.  Semoga token listrik kalian ngga bunyi terus, semoga kalian bs ngisi bensin, bisa memenuhi standar hidup layak.   Indonesia bukan Italia atau Eropa lainnya, bukan Amerika, Aussie dan negara maju lainnya.  Demokrasi di negeri ini ngga perlu ada gagasan keren dari Capresnya, gak perlu ada dialog Desak Anies yang memaksa isi kepala dikeluarkan. Cukup jadi pendukung bodoh yg otaknya dilepas di toilet dan cukup disumpel 100rb untuk 5 tahun ke depan atau dibayarin centang biru meski tuit2nya ceper dan galau.   Alhamdulillah saat ini, Rabb masih takdirkan aku untuk hidup di Benua Biru.   Bersabar Indonesia. Kita ikuti MauNYA Rabbul Alamin❤️  @Mdy_Asmara1701",negative
56,Perhitungan suara belum final mari kita kuatkan doa untuk Pak Anies❤,neutral
57,"Apa yang dialami Anies 8aswedan pernah dirasakan juga oleh prabowo di 2019. Quick count itu survei.  2019 prabowo di curangi, 2024 prabowo mencurangi lawannya dengan cara yang sama.",negative
58,btw gue mute yah hp gue gampang ngehang😭 pendukung 02 yang mau pamerin kemenangannya di tweet gue coba di-qrt aja soalnya tadi ada yang reply gak kebaca 😓😓😓 atau gue duluan deh ANIES KALAH 🤪 ANIES KALAH 🤪 ANIES KALAH 🤪 ANIES KALAH 🤪 ANIES KALAH 🤪 ANIES KALAH 🤪,negative
59,"masih ngomongin kode etik pelanggaran, eh kocak minimal anies tau diri dulu deh di usung 400m sm prabowo tpi ga ada hormat hormat nya. apa itu yang dinamakan etik ? emg sih yg pertama ngusung mardani lisera tpi yang nyumbang dan nge fix in sampe jadi gubernur siapa nyet ?",neutral
60,"“anies kalah😜 ganjar kalah 🤪”  it was never a matter of winning or losing, i don’t give a fuck who’s who.  it’s about SIAPA yang bisa memberikan perubahan progresif demi masa depan generasi bangsa dan SIAPA yang incapable of doing so.  i don’t understand why this idea is so difficult for some people to grasp.",negative
61,"KPU @KPU_ID  : LUMAJANG Anies-Muhaimin  15,5% Prabowo-Gibran  67,4% Ganjar-Mahfud  17,1%",positive
62,"Tapi jumlah total suara kalian input 204 suara dengan paslon 01 Anies-Imin (72 suara), paslon 03 Ganjar-Mahfud (25 suara), dan suara tidak sah ada 7. Kalau 72 + 25 + 7 hanya 104 suara, 100 suara nya hilang tidak di input ke paslon 02 Prabowo-Gibran. Terimakasih  #Pemilu2024",neutral
63,"Si Admin Web KPU , siapa sih ? Setelah viral yang ditemukan suara 02 di mark up  Kenapa sekarang berubah lagi 🤣🤣🤣 mark up suara Pak Anies tapi anehnya presentasinya gak berubah   Hmmm…. Panik gak ? Masa gak ?",neutral
64,Buat yang percaya QUICK COUNT margin hanya 2 % dengan REAL COUNT Coba deh Flash Back Ke PILGUB DKI JAKARTA   Kalian cermati Hasil Quick count dan Real Count Anies dan Ahok disana berapa Perbedaan margin nya 😅  Arti nya apa ? Jangan mau digiring dengan hasil Quick Count 😉👍,neutral
65,"ternyata kita satu pemikiran mba, ga expect malah prabowo yg menang di QC, tapi ttp berharap pak anies menang secara sah di KPU, bener-bener pengen liat pembuktian perubahan yang di maksud di visi misi nya",negative
66,Ini keren banget trobosan yang hendak pak Anies bangun untuk Solusi Haji di Indonesia :  1. Strategi pemangkasan waktu tggu 2. Strategi biaya haji lebih terjangkau 3. Serta trobosan pembangunan Kampung Haji di Tanah Suci. 🥰  #AMINmenang #AminAjaDulu,neutral
67,aku tidak menyesal pernah mendukung dan memilih anies baswedan untuk berkompetisi menjadi presiden.,positive
68,"Gaung kan terus viralkan Di KPU   Anies yang menang.  Sudahkah tak usah sok pakai Quickcount, itu menipu.  Bikin kacau Demokrasi.",negative
69,"klo denger pidato pak anies kayaknya dia ga bakal gabung koalisi pemerintah, semoga konsisten demokrasi butuh oposisi yg kuat biar negara tetap bisa sehat",positive
70,"Anies memakai kata ""Saya"", krn nanti PKB & Nasdem sendiri malah akan merapat ke koalisi Prabowo meninggalkan Anies.  Akan jd kejutan jika momen ini dipakai PDIP buat balas dendam di 2029 dgn menggaet Pak Anies. Dan PKS di belakangnya. 🤣🤣",neutral
71,MashaaAllah Abah Anies 🥰,neutral
72,"itu isu udh 25 tahun lalu, yg diangkat cm 5 tahunan sekali, lo pikir anies peduli sbnrnya? nyatanya gapernah ada bukti apa2, orgnya jg gak kabur msh di indo2 aja, kl mau diselesaikan ya tuntasin lah, masa 5 tahunan doang dibahasnya, what a rider of wave",negative
73,Kecurangan TSM untuk penggelembungan suara 02  Tidak curang tidak menang  Mungkin bgt prinsip yg berlaku sekarang bagi 02,positive
74,X base pendukung 01 anies katanya. Padahal kalo dah keluar semua pendukung 02. 01 bagaikan jarum di dalam tai,negative
75,yg milih pak anies gabung jd 1 wilayah aja ga si WKWKWKKK,neutral
76,"Yaelahh ngeles mah bisa bang, trus ketemu gibran ngapain? Omongan anies udah banyak dongengnya. Gak bisa dipercaya.",neutral
77,Anies menegaskan akan tetap berkomitmen dalam gerakan perubahan. Dia tak akan terpengaruh atau tertarik pada kelompok di luar gerakan perubahan. #focus #pilpres2024 #news #text https://kumparan.com/kumparannews/anies-respons-quick-count-saya-tidak-akan-bergeser-dari-gerakan-perubahan-22AJOF084kk?utm_source=Twitter&utm_medium=post&utm_campaign=int,positive
78,"Yaaaa laporin atuh mba kata aku mah ya justru kalo buktinya yg inimah langsung diproses tauu terus nanti langsung ada berita nih  “Terdapat indikasi kecurangan yang dilakukan oleh paslon 01, KPU panggil anies baswedan”",negative
79,"Terbukti pakata Rocky. Menurut Rocky, Anies tidak akan menang Pilpres karena ada tembok besar yang menghalangi. Siapa dia? Rocky mengatakan, walaupun Anies meraih 100 persen suara di seluruh Indonesia, hasilnya tidak akan menang. Karena sejak sekarang hasil  sudah ditentukan",positive
80,"nih nonton, lu butuh pak anies buat balas utang budi kah? mengusung? 400M? masalah pribadi dengan pelanggaran HAM lu mau compare? logika lu dimana?",negative
81,Alhamdulillah.. Semoga Allah SWT Yang Maha Kuasa Ridho untuk Menangkan Anies-Muhaimin menjadi Presiden & Wakil Presiden RI. Jadi semangat lagi nih. Yuuk Sobat Relawan semangat dam Kawal terus Suara AMIN 01 dari TPS-PPS- PPK-KPUD KOTA/KAB sampai pd KPU PUSAT.,positive
82,"ngga paham soalnya aku gatau siapa yang bakal menang. yang aku tau di twt banyak pendukung anies, di ig banyak kuliat pendukung gemoy, dilingkunganku juga banyak bgt pendukung ganjar. sama sama banyak ""pendukung""nya kok, jd persaingannya ya sama sama sengit",negative
83,"ROCKY GERUNG, JOKOWI TIDAK MUNGKIN INGINKAN ANIES APALAGI GANJAR MELAWANNYA DI PUTARAN KE 2....‼️  #KPBBiangCurangBrutal #KPUBiangCurangBrutal 🆘🆗",neutral
84,"Pendukung Anies gampang banget candaain kematian, bunuh diri. wkwk  entah mentalnya yang rada rada atau jokes nya yang wadidaw",neutral
85,"sejujurnya gue sebagai 01 voter nangis daritadi bukan karena Anies votenya kecil, tapi gue mikirin ke depannya nasib Indonesia ini bakal kayak apa sedangkan pemerintah Jokowi aja gundulin hutan sampai warga terdampak kena banjir. belum lagi permasalahan dengan masyarakat adat.",negative
86,"1. Biasanya Anies pakai ""kami"", di sini pakai ""saya"" 2. Mari ingatkan statement beliau dalam debat, ""menjadi oposisi itu sama-sama terhormat"" 3. Menjadi oposisi itu bisa di dalam maupun di luar parlemen, bisa melalui partai atau non-partai. Yg penting, terorganisasi.",negative
87,Yg menarik tuh ada pertanyaan apakah konsep Desak Anies dianggap gagal?   Menurutku sih belum tentu. Desak Anies cukup berhasil narik atensi young voters buat tertarik sama isu politik.   Sesuatu yg baru emang butuh waktu untuk bisa diterima khalayak lebih luas.,positive
88,Anies kayaknya pernah ke bulan juga deh 🤔,neutral
89,"Live tiktok perhitungan pemilu, anies banyak yang unggul tapi kenapa angka Quick Count masih rendah?  Thread",neutral
90,"Anies ngelirik gibran?? sini videonya.  Jangan bilang video nol koma 30 detik lu jadikan acuan, yg buat otak lu keliatan gobloknya 👌",negative
91,Saya akan terus berada didalam gerakan perubahan ini dan tidak akan bergeser sedikitpun ~ Anies Baswedan  #Pemilu2024,neutral
92,Pers kok begini bahasanya ya.padahal jelas yg paling menghargai pers itu pak anies lho.,negative
93,"sampe akhirnya gue milih pak Anies, gue milih bukan karena gue gapercaya sama pak Prabowo dan pak Ganjar (fyi gue salah satu idola mereka ber3)🤏🏻makanya sedih dah pas disuruh pilih apalagi pak Prabowo gue bnrn ngeidolain blio dari th 2019 (thn pertama gue nyoblos)😁",negative
94,Alhamdulillah  Google Trends 💪 ANlES MEMIMPIN  ANIES menang indonesia selamat,positive
95,BISMILLAH YA ALLAH YA ☝🏻🤲🏻 SEMOGA PAK ANIES PRESIDEN☝🏻,neutral
96,Anies kurang gimane tong mpe ada ulama bikin fatwa wajib pilih Anis 🗿🗿🗿 trik Jakarta mau dibawa ke nasional jangan mimpi.,neutral
97,Cak Imin meminta pendukungnya untuk terus mengawal #Pemilu2024. Cak Imin meyakini jika Anies dan dirinya akan memenangkan Pemilu tahun ini.  #detikPemilu #WaktunyaMilih https://news.detik.com/berita/d-7194234/cak-imin-lanjutkan-kawal-suara-insyaallah-amin-menang-pemilu-2024?utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=twitter&utm_content=detikcom,positive
98,"""Saya tidak takut tidak punya  jabatan,  Mas Anies..."" (Tapi nyalon sampai 3 kali)  Sementara itu...  ""Jabatan itu milik Allah.."" (Menggugat ke PTUN)  Awalnya, kirain keduanya pada ikhlas.. Ternyata sama saja!",negative
99,"Anies menegaskan, meski nantinya kalah di Pilpres, ia akan tetap memperjuangkan gerakan perubahan. Ia berharap pendukungnya tetap berjuang bersama. dlvr.it/T2lCN8",negative
100,"When i told you ""Aniesnya bagus, tapi partai pengusungnya sampah"" the day Nasdem declared Anies as their BACAPRES, i really meant it.  Gue mah nggak kaget. Kaget cuma kalo PKS yg join koalisi 🤣",neutral
101,"Saya harap yg akan jadi tokoh oposisi adalah orang seperti Anies Baswedan, Mahfud MD, Ahok, dan Ganjar",neutral
102,"Ada putaran ke 2, Anies vs Ganjar? 🤣",neutral
103,"Just a reminder bahwa rakyat Indonesia memenangkan Prabowo-Gibran bukan karena mereka suka Prabowo, tapi karena ingin keberlanjutan Jokowi.  Ketika tahun lalu Jokowi dipersepsikan dukung Ganjar, Ganjar lah yang diprediksi akan menang.  Jokowi dukung Anies pun, Anies akan menang.",positive
104,"Buat pahlawanku Anies Baswedan terima kasih engkau telah mengajarkan kami akan kenegarawanan. Engkaulah pemenang sejati. Buat saudara"" ku dia Anies Baswedan adalah warga dunia dan terbukti. Tapi kita warga sendiri yg terjajah oleh kekuasaan saudara sendiri. Bravo perubahan",neutral
105,"ngapain dijamin, orang udah bukti. jalanan pd rusak. lo bisa jamin anis kerja bener ngga? janji dp 0 persen aja ngga lo tagih. senengnya liat anies tkg bohong kalah. rakyat indonesia pinter.",neutral
106,Tetiba ingat Desak Anies pas edisi ini 🥺  Banyak warga yang menaruh harapan pada pak Anies,negative
107,Data statistik jam 3.10 dini hari.  Anies yang menang.,neutral
108,Goblokkk. Jabatan tertinggi Anies aja cuman gubernur. Itu aja gubernur DKI JAKARTA. Pengungsinya ada di ACEH.   Gelombang refugeenya udh dari jaman SBY waktu Anies masih jadi rektor.   Dongo!,neutral
109,"Jika Abah Anies 8aswedan ""kalah"" Apa yang akan Abah lakukan❓❔  #DesakAnies banyak warga yang menaruh harapan pada Abah Anies untuk Perubahan 🙏  ___ #Pemilu2024 C-hasil Sumbar KPPS Bawaslu Komeng Real Count",negative
110,Bismillah !  Hari ini tim Humanies project mulai produktif lagi kita luruskan hoax-hoax selama pemilu dengan konten dan ads.  Facebook dan Tiktok menjadi platform paling banyak hoax yang menyerang abah Anies selama pemilu ini. Semoga dengan sisa uang donasi kemarin bisa jalan.,positive
111,"Semoga Abah menang ❎️ Semoga Abah terpilih ✅️ Karena bukan kemenangan yg kita cari, tapi karena Allah memilih Abah untuk memimpin kami. Membangun negri ini 🇮🇩 Anies Baswedan Abahnya Indonesia",positive
112,opsi kedua...itu sih .. tapi ya pilkada nanti kan udah dekat tentu mungkin anies akan masuk ke kancah politik lagi tergantung dia calon daerah mana..,negative
113,pak anies bikin negara baru aja dong terus nanti aku pindah kesana,negative
114,"Memang kemenangan hasil kecurangan dan menghalalkan berbagai macam cara, demi ketujuan. ayo kita ramai2 gagalkan karena belum final, Anies dan Amin sebagai the champion 2024",neutral
115,"Fitnah anies & rohingya masuk adalah fitnah ter-baseless yg pernah gue denger dan bener2 nunjukin betapa jeleknya pendidikan di indo gimana karena lo ngga perlu pinter di HI, geopolitik, pemerintahan, atau apapun you name it.",neutral
116,"Serius nih ,🥹🥹🥹🥹🥰🥰🥰",neutral
117,Allahu Akbar Abah Anies menang lagi di Madura dg TPS berbeda saya rekam mereka live🫶🏻🦉,neutral
118,"despite of everything, thank you, tim 01 dan 03.  tidak berusaha mengultuskan paslon tertentu, because at the end of the day they're still politicians. tapi buatku, usaha pak anies, cak imin, pak ganjar dan prof mahfud— gagasan, gerakan, gebrakan mereka... pantas diapresiasi.",neutral
119,"Perhitungan versi lawak 😄😁 Prabowo = 19,30% hasil dari perolehan Prabowo 2019 (44,50%) - Hasil sementara Anies (25,20%) Jokowi/Gibran = 39% hasil dari kemenangan Jokowi 2019 (55,50%) - Hasil sementara Ganjar (16,50%)  Jokowi Efek tidak bisa dihindari",negative
120,"Bonus berita gembira untuk netizen yang setia pada perubahan.  Data perolehan suara capres di RW 08, Kebon Baru, Tebet:  TPS 078 - 089 semua dimenangkan oleh Anies. 14 Februari 2024  #KPUBiangCurangBrutal #KPUBiangCurangBrutal",neutral
121,"Buat pendukung Anies ini perhitugan suara real acount  C1 sampai detik ini baru masuk 11 juta lebih suara ,ayo anak Abah semangat 🫶🏻🦉 abaikan hasil Quick” ya",neutral
122,Ini bener kok kelas menengah itu selalu dianaktirikan dalam kebijakan publik hari ini. Mereka juga lost in translation dalam politik. Anies mencoba membangun kesadaran itu,negative
123,pokonya semuanya salah pak anies 😱,neutral
124,Kalau dipikir-pikir lagi dari model kampanye dan dana nya Anies nggak ngincar presiden tapi loyalis. Dia kayaknya mau buat ceruk middleclass yang sebelumnya cuma masuk swing voters buat jangka panjang biar lebih fleksibel manuver politiknya.  Izin tag @mdrfhyt untuk koreksi.,neutral
125,"Konferensi pers Anies Baswedan dan Cak Imin Mengenai Hasil Pilpres 2024  ""Saya ingin sampaikan kepada seluruh pejuang perubahan, bahwa saya akan terus di dalam gerakan perubahan ini dan tidak akan bergeser sedikitpun,"" (Anies Baswedan)",negative
126,"Btw, kenapa anies gak jadi gubernur aceh?",neutral
